Year,Site,Treatment,Block,Plot,Species,Relative Cover
2012,MAT,NFCT,1,1,moss,0.016
2012,MAT,NFCT,1,1,lichen,0.008
2012,MAT,NFCT,1,1,litter,0.048
2012,MAT,NFCT,1,1,Bet nan,0.176
2012,MAT,NFCT,1,1,Car big,0.016
2012,MAT,NFCT,1,1,Cas tet,0.016
2012,MAT,NFCT,1,1,Emp nig,0.008
2012,MAT,NFCT,1,1,Eri vag,0.288
2012,MAT,NFCT,1,1,Led pal,0.176
2012,MAT,NFCT,1,1,Pol bis,0.008
2012,MAT,NFCT,1,1,Rub cha,0.08
2012,MAT,NFCT,1,1,Vac vit,0.16
2012,MAT,NFCT,1,2,moss,0.061538462
2012,MAT,NFCT,1,2,lichen,0.007692308
2012,MAT,NFCT,1,2,litter,0.061538462
2012,MAT,NFCT,1,2,bare,0.007692308
2012,MAT,NFCT,1,2,Bet nan,0.2
2012,MAT,NFCT,1,2,Cas tet,0.015384615
2012,MAT,NFCT,1,2,Eri vag,0.369230769
2012,MAT,NFCT,1,2,Led pal,0.107692308
2012,MAT,NFCT,1,2,Ped sp.,0.015384615
2012,MAT,NFCT,1,2,Rub cha,0.030769231
2012,MAT,NFCT,1,2,Vac vit,0.123076923
2012,MAT,NFCT,1,3,moss,0.091603053
2012,MAT,NFCT,1,3,lichen,0.007633588
2012,MAT,NFCT,1,3,litter,0.061068702
2012,MAT,NFCT,1,3,Bet nan,0.213740458
2012,MAT,NFCT,1,3,Car big,0.007633588
2012,MAT,NFCT,1,3,Cas tet,0.007633588
2012,MAT,NFCT,1,3,Emp nig,0.106870229
2012,MAT,NFCT,1,3,Eri vag,0.229007634
2012,MAT,NFCT,1,3,Led pal,0.045801527
2012,MAT,NFCT,1,3,Ped sp.,0.007633588
2012,MAT,NFCT,1,3,Rub cha,0.007633588
2012,MAT,NFCT,1,3,Sal pul,0.007633588
2012,MAT,NFCT,1,3,Vac uli,0.015267176
2012,MAT,NFCT,1,3,Vac vit,0.183206107
2012,MAT,NFCT,1,3,St. D. Bet.,0.007633588
2012,MAT,NFCT,1,4,moss,0.055045872
2012,MAT,NFCT,1,4,lichen,0.009174312
2012,MAT,NFCT,1,4,litter,0.055045872
2012,MAT,NFCT,1,4,Bet nan,0.146788991
2012,MAT,NFCT,1,4,Car big,0.018348624
2012,MAT,NFCT,1,4,Cas tet,0.018348624
2012,MAT,NFCT,1,4,Emp nig,0.018348624
2012,MAT,NFCT,1,4,Eri vag,0.256880734
2012,MAT,NFCT,1,4,Led pal,0.110091743
2012,MAT,NFCT,1,4,Rub cha,0.036697248
2012,MAT,NFCT,1,4,Vac uli,0.036697248
2012,MAT,NFCT,1,4,Vac vit,0.23853211
2012,MAT,NFCT,1,5,moss,0.030534351
2012,MAT,NFCT,1,5,lichen,0.007633588
2012,MAT,NFCT,1,5,litter,0.015267176
2012,MAT,NFCT,1,5,Bet nan,0.213740458
2012,MAT,NFCT,1,5,Car big,0.030534351
2012,MAT,NFCT,1,5,Cas tet,0.015267176
2012,MAT,NFCT,1,5,Emp nig,0.061068702
2012,MAT,NFCT,1,5,Eri vag,0.213740458
2012,MAT,NFCT,1,5,Led pal,0.061068702
2012,MAT,NFCT,1,5,Pol bis,0.015267176
2012,MAT,NFCT,1,5,Rub cha,0.030534351
2012,MAT,NFCT,1,5,Vac uli,0.152671756
2012,MAT,NFCT,1,5,Vac vit,0.152671756
2012,MAT,NFCT,1,6,moss,0.009345794
2012,MAT,NFCT,1,6,lichen,0.018691589
2012,MAT,NFCT,1,6,litter,0.037383178
2012,MAT,NFCT,1,6,Bet nan,0.242990654
2012,MAT,NFCT,1,6,Car big,0.018691589
2012,MAT,NFCT,1,6,Cas tet,0.018691589
2012,MAT,NFCT,1,6,Emp nig,0.009345794
2012,MAT,NFCT,1,6,Eri vag,0.242990654
2012,MAT,NFCT,1,6,Led pal,0.112149533
2012,MAT,NFCT,1,6,Pol bis,0.009345794
2012,MAT,NFCT,1,6,Rub cha,0.074766355
2012,MAT,NFCT,1,6,Vac uli,0.037383178
2012,MAT,NFCT,1,6,Vac vit,0.168224299
2012,MAT,NFCT,1,7,moss,0.042553191
2012,MAT,NFCT,1,7,lichen,0.021276596
2012,MAT,NFCT,1,7,litter,0.063829787
2012,MAT,NFCT,1,7,bare,0.063829787
2012,MAT,NFCT,1,7,Bet nan,0.127659574
2012,MAT,NFCT,1,7,Car big,0.010638298
2012,MAT,NFCT,1,7,Cas tet,0.010638298
2012,MAT,NFCT,1,7,Emp nig,0.042553191
2012,MAT,NFCT,1,7,Eri vag,0.319148936
2012,MAT,NFCT,1,7,Led pal,0.127659574
2012,MAT,NFCT,1,7,Rub cha,0.063829787
2012,MAT,NFCT,1,7,Vac uli,0.021276596
2012,MAT,NFCT,1,7,Vac vit,0.085106383
2012,MAT,NFCT,1,8,moss,0.111111111
2012,MAT,NFCT,1,8,lichen,0.018518519
2012,MAT,NFCT,1,8,litter,0.055555556
2012,MAT,NFCT,1,8,bare,0.074074074
2012,MAT,NFCT,1,8,Bet nan,0.074074074
2012,MAT,NFCT,1,8,Cas tet,0.009259259
2012,MAT,NFCT,1,8,Emp nig,0.037037037
2012,MAT,NFCT,1,8,Eri vag,0.407407407
2012,MAT,NFCT,1,8,Led pal,0.074074074
2012,MAT,NFCT,1,8,Pol bis,0.009259259
2012,MAT,NFCT,1,8,Rub cha,0.037037037
2012,MAT,NFCT,1,8,Vac vit,0.092592593
2012,MAT,NFNP,1,1,moss,0.003952569
2012,MAT,NFNP,1,1,litter,0.063241107
2012,MAT,NFNP,1,1,Bet nan,0.355731225
2012,MAT,NFNP,1,1,Eri vag,0.003952569
2012,MAT,NFNP,1,1,Led pal,0.003952569
2012,MAT,NFNP,1,1,Rub cha,0.537549407
2012,MAT,NFNP,1,1,St. D. Bet.,0.031620553
2012,MAT,NFNP,1,2,moss,0.00921659
2012,MAT,NFNP,1,2,litter,0.082949309
2012,MAT,NFNP,1,2,Bet nan,0.387096774
2012,MAT,NFNP,1,2,Eri vag,0.036866359
2012,MAT,NFNP,1,2,Led pal,0.004608295
2012,MAT,NFNP,1,2,Rub cha,0.313364055
2012,MAT,NFNP,1,2,St. D. Bet.,0.165898618
2012,MAT,NFNP,1,3,litter,0.020100503
2012,MAT,NFNP,1,3,Bet nan,0.412060302
2012,MAT,NFNP,1,3,Car big,0.005025126
2012,MAT,NFNP,1,3,Eri vag,0.020100503
2012,MAT,NFNP,1,3,Rub cha,0.48241206
2012,MAT,NFNP,1,3,St. D. Bet.,0.060301508
2012,MAT,NFNP,1,4,moss,0.019704433
2012,MAT,NFNP,1,4,bare,0.009852217
2012,MAT,NFNP,1,4,Bet nan,0.354679803
2012,MAT,NFNP,1,4,Eri vag,0.004926108
2012,MAT,NFNP,1,4,Led pal,0.009852217
2012,MAT,NFNP,1,4,Rub cha,0.591133005
2012,MAT,NFNP,1,4,St. D. Bet.,0.009852217
2012,MAT,NFNP,1,5,litter,0.023121387
2012,MAT,NFNP,1,5,Bet nan,0.473988439
2012,MAT,NFNP,1,5,Car big,0.005780347
2012,MAT,NFNP,1,5,Eri vag,0.023121387
2012,MAT,NFNP,1,5,Rub cha,0.450867052
2012,MAT,NFNP,1,5,Sal pul,0.023121387
2012,MAT,NFNP,1,6,litter,0.08988764
2012,MAT,NFNP,1,6,Bet nan,0.325842697
2012,MAT,NFNP,1,6,Eri vag,0.134831461
2012,MAT,NFNP,1,6,Rub cha,0.382022472
2012,MAT,NFNP,1,6,St. D. Bet.,0.033707865
2012,MAT,NFNP,1,6,vole litter,0.033707865
2012,MAT,NFNP,1,7,moss,0.01025641
2012,MAT,NFNP,1,7,litter,0.041025641
2012,MAT,NFNP,1,7,Bet nan,0.338461538
2012,MAT,NFNP,1,7,Eri vag,0.071794872
2012,MAT,NFNP,1,7,Led pal,0.005128205
2012,MAT,NFNP,1,7,Rub cha,0.482051282
2012,MAT,NFNP,1,7,St. D. Bet.,0.020512821
2012,MAT,NFNP,1,7,vole litter,0.030769231
2012,MAT,NFNP,1,8,litter,0.055299539
2012,MAT,NFNP,1,8,Bet nan,0.377880184
2012,MAT,NFNP,1,8,Eri vag,0.046082949
2012,MAT,NFNP,1,8,Led pal,0.004608295
2012,MAT,NFNP,1,8,Rub cha,0.516129032
2012,MAT,NFCT,2,1,moss,0.018018018
2012,MAT,NFCT,2,1,lichen,0.009009009
2012,MAT,NFCT,2,1,litter,0.054054054
2012,MAT,NFCT,2,1,Bet nan,0.18018018
2012,MAT,NFCT,2,1,Car big,0.018018018
2012,MAT,NFCT,2,1,Cas tet,0.018018018
2012,MAT,NFCT,2,1,Emp nig,0.054054054
2012,MAT,NFCT,2,1,Eri vag,0.126126126
2012,MAT,NFCT,2,1,Led pal,0.072072072
2012,MAT,NFCT,2,1,Rub cha,0.198198198
2012,MAT,NFCT,2,1,Vac vit,0.09009009
2012,MAT,NFCT,2,1,vole litter,0.162162162
2012,MAT,NFCT,2,2,moss,0.128571429
2012,MAT,NFCT,2,2,lichen,0.171428571
2012,MAT,NFCT,2,2,litter,0.028571429
2012,MAT,NFCT,2,2,Bet nan,0.085714286
2012,MAT,NFCT,2,2,Cas tet,0.007142857
2012,MAT,NFCT,2,2,Emp nig,0.007142857
2012,MAT,NFCT,2,2,Eri vag,0.2
2012,MAT,NFCT,2,2,Led pal,0.057142857
2012,MAT,NFCT,2,2,Rub cha,0.042857143
2012,MAT,NFCT,2,2,Sal pul,0.085714286
2012,MAT,NFCT,2,2,Vac vit,0.071428571
2012,MAT,NFCT,2,2,vole hole,0.014285714
2012,MAT,NFCT,2,2,vole litter,0.1
2012,MAT,NFCT,2,3,moss,0.075
2012,MAT,NFCT,2,3,lichen,0.0625
2012,MAT,NFCT,2,3,litter,0.025
2012,MAT,NFCT,2,3,Bet nan,0.225
2012,MAT,NFCT,2,3,Car big,0.0125
2012,MAT,NFCT,2,3,Emp nig,0.0125
2012,MAT,NFCT,2,3,Eri vag,0.1625
2012,MAT,NFCT,2,3,Led pal,0.1625
2012,MAT,NFCT,2,3,Rub cha,0.025
2012,MAT,NFCT,2,3,Sal pul,0.15
2012,MAT,NFCT,2,3,Vac vit,0.0375
2012,MAT,NFCT,2,3,vole litter,0.05
2012,MAT,NFCT,2,4,moss,0.051612903
2012,MAT,NFCT,2,4,lichen,0.006451613
2012,MAT,NFCT,2,4,litter,0.025806452
